UID,CompanyName,CompanyAddress,CompanyCity,CompanyState,CompanyZip,JobsReported,NAICSCode,BusinessType,WEB ADDRESS,FIRSTNAME,LASTNAME,TITLE,EMAIL,DnBADDRESS,DnBCITY,DnBMAILINGSTATE,DnBZIP,DnBAREA_CODE_AND_PHONE,DnBFAX,DnBSALES_VOLUME,DnBNUMBER_OF_EMPLOYEES,DnBPUBLIC_PRIVATE_COMPANY
1,UNIVERSITY CENTER CHIROPRACTIC,4500 9TH AVE NE STE 300,SEATTLE,WA,98105,1,561499,Sole Proprietorship,,,,,,,,,,,,,,
2,GEORGE JOHNSON,21931 SE 424th St,Enumclaw,WA,98022-9033,3,531311,Sole Proprietorship,,,,,,,,,,,,,,
3,ZUBEDA ADEM,15127 NE 24th St #451,REDMOND,WA,98052-5544,4,722513,Sole Proprietorship,,,,,,,,,,,,,,
4,EMERALD MARKETING CONSULTING,521 STADIUM PL S APT 1806,SEATTLE,WA,98104-7810,1,541618,Sole Proprietorship,,,,,,,,,,,,,,
5,COMMENCEMENT CHILDRENS THERAPY LLC,2915 North McCarver Street Ste 100,Tacoma,WA,98403,1,621340,Limited  Liability Company(LLC),,,,,,,,,,,,,,
6,MICHAEL JENKINS,1104 S 3rd Ave,Kelso,WA,98626-2124,1,485310,Independent Contractors,,,,,,,,,,,,,,
7,CARROLL'S PRINTING INC,1976 S Market Blvd,Chehalis,WA,98532-4124,2,323111,Corporation,,,,,,,,,,,,,,
8,PEAR A DICE FARMS INC,1641 Lombard Loop Rd,Wapato,WA,98951-9684,11,111339,Corporation,,,,,,,,,,,,,,
9,OSCAR GRAYBILL,514 S Division St,Walla Walla,WA,99362-3351,1,611699,Limited  Liability Company(LLC),,,,,,,,,,,,,,
10,KAYLENE GEORGE,6505 S West Terrace Dr.,Cheney,WA,99004,1,511199,Sole Proprietorship,,,,,,,,,,,,,,
11,PEAR A DICE FARMS INC,1641 Lombard Loop R,WAPATO,WA,98951,2,111331,Corporation,,,,,,,,,,,,,,
12,ERIN ALEXANDER,7844 126th Ave Ne,Kirkland,WA,98033,1,541430,Sole Proprietorship,,,,,,,,,,,,,,
13,ARISSA H RENCH,4142 45TH AVE SW,SEATTLE,WA,98116,1,813110,Sole Proprietorship,,,,,,,,,,,,,,
14,JAYMOR KIM,651 Edmonds Way Suite A,Edmonds,WA,98020,1,621210,Sole Proprietorship,,,,,,,,,,,,,,
15,DONAHUE LAW PLLC,901 N ADAMS ST,SPOKANE,WA,99201-2050,2,541110,Subchapter S Corporation,,,,,,,,,,,,,,
16,SEAVIEW AIRPORT SERVICE,1306 Olympia View Dr,EDMONDS,WA,98020-2638,4,485320,Corporation,,,,,,,,,,,,,,
17,P&S FARMS; INC.,1426 Greco Drive,Clarkston,WA,99403,2,111140,Corporation,,,,,,,,,,,,,,
18,J&M; L.L.C.,38 WESTLAKE RD,OROVILLE,WA,98844-9556,7,484220,Limited  Liability Company(LLC),,,,,,,,,,,,,,
19,VITAL T LEAF; LLC,651 S JACKSON ST,SEATTLE,WA,98104-2928,2,424490,Limited  Liability Company(LLC),,,,,,,,,,,,,,
20,BRANDON PATOC PHOTOGRAPHY LLC,26410 68th Ave S,Kent,WA,98032-7272,1,541922,Limited  Liability Company(LLC),,,,,,,,,,,,,,
21,UNITED PRESS & GRAPHICS; INC.,505 E INDUSTRIAL DR,HARTLAND,WI,53029,16,541430,Corporation,,,,,,,,,,,,,,
22,L.T.L. SUPPLY INC.,2161 Speaker Ct,Green Bay,WI,54313-8945,15,423610,Subchapter S Corporation,,,,,,,,,,,,,,
23,QUINN MOTORS OF ELLSWORTH INC,363 W Warner St,Ellsworth,WI,54011-4114,15,441110,Corporation,,,,,,,,,,,,,,
24,PRECISION GLASS AND DOORS LLC,3101 Post Rd,Stevens Point,WI,54481-6410,12,238150,Subchapter S Corporation,,,,,,,,,,,,,,
25,VIROQUA CBRF; LLC,1049 Chicago Ave,VIROQUA,WI,54665-1130,23,623312,Limited  Liability Company(LLC),,,,,,,,,,,,,,
26,SCHMIT BROS DODGE INC,PO Box 80255,SAUKVILLE,WI,53080,22,441110,Subchapter S Corporation,,,,,,,,,,,,,,
27,SCHMIT BROS DODGE INC,905 E Green Bay Ave,Saukville,WI,53080-2620,22,441110,Subchapter S Corporation,,,,,,,,,,,,,,
28,HS GROUP HR INC,336 S Jefferson St,Green Bay,WI,54301-4523,15,541612,Subchapter S Corporation,,,,,,,,,,,,,,
29,READY MIXED CUSTARD; INC.,43 WESTMINSTER CIR,FOND DU LAC,WI,54935-2927,49,722513,Corporation,,,,,,,,,,,,,,
30,HARTLAND HOSPITALITY FRANCHISE GROUP LLC,130 E Capitol Dr,HARTLAND,WI,53029-2104,9,722511,Limited Liability Partnership,,,,,,,,,,,,,,
